127.0.0.1 - - [15/Dec/2022:14:31:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:31:48 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:31:48 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:31:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:32:39 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:32:39 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:34:43 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:35:44 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:35:46 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:35:56 +0900] "GET /studyhtml5/ HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:35:56 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:35:58 +0900] "GET /studyhtml5/docs/hello.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:42:56 +0900] "GET /studyhtml5/docs/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:42:58 +0900] "GET /studyhtml5/docs/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:43:05 +0900] "GET /studyhtml5/docs/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:43:21 +0900] "GET /studyhtml5/index.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:43:21 +0900] "GET /studyhtml5/main.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:43:23 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:43:48 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:49:03 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:49:03 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:50:48 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:54:34 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:54:36 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:55:01 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:55:44 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:55:45 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:56:05 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:56:26 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:57:15 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:57:15 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:57:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:58:51 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [15/Dec/2022:14:58:51 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:00:23 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:00:23 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:01:45 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:01:45 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:22 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:22 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:24 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:24 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:43 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:02:43 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:05 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:05 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
